Date,Open,High,Low,Close,Adj Close,Volume
2016-02-18,28.173077,28.221153,27.875000,27.961538,25.058081,32296400
2016-02-19,27.826923,28.009615,27.576923,27.903847,25.006378,37507700
2016-02-22,27.903847,28.355770,27.903847,28.278847,25.342440,40053600
2016-02-23,28.086538,28.230770,27.961538,28.096153,25.178717,32397200
2016-02-24,27.788462,27.932692,27.307692,27.846153,24.954679,46725600
2016-02-25,27.692308,28.153847,27.673077,28.105770,25.388973,37316500
2016-02-26,28.173077,28.423077,28.163462,28.269230,25.536631,30518900
2016-02-29,28.307692,28.413462,28.000000,28.019230,25.310799,35533000
2016-03-01,28.278847,28.817308,28.182692,28.730770,25.953560,33626000
2016-03-02,28.634615,29.019230,28.615385,29.019230,26.214132,38703800
2016-03-03,29.038462,29.230770,28.903847,29.057692,26.248873,29237400
